id,name,cpf,gender,is_manager,salary
2,1,222.333.666-44,M,0,4000.00
3,12,222.333.666-45,M,1,4000.00
4,1234,222.333.666-46,M,0,4000.00
9,12345,222.333.666-39,M,0,46000.00
9,123456,222.333.666-39,M,0,46000.00
9,1234567,222.333.666-39,M,0,46000.00
9,1234568,222.333.666-39,M,0,46000.00
9,1234569,222.333.666-39,M,0,46000.00
9,1234567890,222.333.666-39,M,0,46000.00
9,12345678901,222.333.666-39,M,0,46000.00
9,123456789012,222.333.666-39,M,0,46000.00
9,1234567890123,222.333.666-39,M,0,46000.00
9,12345678901234,222.333.666-39,M,0,46000.00
9,123456789012345,222.333.666-39,M,0,46000.00
9,1234567890123456,222.333.666-39,M,0,46000.00
9,12345678901234567,222.333.666-39,M,0,46000.00
9,123456789012345678,222.333.666-39,M,0,46000.00
9,1234567890123456789,222.333.666-39,M,0,46000.00
9,12345678901234567890,222.333.666-39,M,0,46000.00
9,12345678901234567890a,222.333.666-39,M,0,46000.00
9,GABRIEL SOUSA DAREZZO,222.333.666-39,M,0,46000.00
